"Date","Price","Open","High","Low","Change %"
"Mar 10, 1992","0.5818","0.5818","0.5818","0.5818","0.26%"
"Mar 09, 1992","0.5803","0.5803","0.5803","0.5803","-0.45%"
"Mar 06, 1992","0.5829","0.5829","0.5829","0.5829","0.09%"
"Mar 05, 1992","0.5824","0.5824","0.5824","0.5824","0.54%"
"Mar 04, 1992","0.5793","0.5793","0.5793","0.5793","0.78%"
"Mar 03, 1992","0.5748","0.5748","0.5748","0.5748","0.63%"
"Mar 02, 1992","0.5712","0.5712","0.5712","0.5712","0.42%"
"Feb 28, 1992","0.5688","0.5688","0.5688","0.5688","-0.04%"
"Feb 27, 1992","0.5690","0.5690","0.5690","0.5690","-0.72%"
"Feb 26, 1992","0.5731","0.5731","0.5731","0.5731","0.92%"
"Feb 25, 1992","0.5679","0.5679","0.5679","0.5679","-0.84%"
"Feb 24, 1992","0.5727","0.5727","0.5727","0.5727","0.05%"
"Feb 21, 1992","0.5724","0.5724","0.5724","0.5724","0.03%"
"Feb 20, 1992","0.5722","0.5722","0.5722","0.5722","0.46%"
"Feb 19, 1992","0.5696","0.5696","0.5696","0.5696","-0.32%"
"Feb 18, 1992","0.5714","0.5714","0.5714","0.5714","1.38%"
"Feb 17, 1992","0.5636","0.5636","0.5636","0.5636","-0.34%"
"Feb 14, 1992","0.5655","0.5655","0.5655","0.5655","0.14%"
"Feb 13, 1992","0.5647","0.5647","0.5647","0.5647","0.91%"
"Feb 12, 1992","0.5596","0.5596","0.5596","0.5596","1.08%"
"Feb 11, 1992","0.5536","0.5536","0.5536","0.5536","1.15%"
"Feb 10, 1992","0.5473","0.5473","0.5473","0.5473","0.39%"
"Feb 07, 1992","0.5452","0.5452","0.5452","0.5452","-0.91%"
"Feb 06, 1992","0.5502","0.5502","0.5502","0.5502","-0.38%"
"Feb 05, 1992","0.5523","0.5523","0.5523","0.5523","-0.52%"
"Feb 04, 1992","0.5552","0.5552","0.5552","0.5552","-0.29%"
"Feb 03, 1992","0.5568","0.5568","0.5568","0.5568","-0.20%"
"Jan 31, 1992","0.5579","0.5579","0.5579","0.5579","-0.46%"
"Jan 30, 1992","0.5605","0.5605","0.5605","0.5605","1.28%"
"Jan 29, 1992","0.5534","0.5534","0.5534","0.5534","-0.57%"
"Jan 28, 1992","0.5566","0.5566","0.5566","0.5566","-0.98%"
"Jan 27, 1992","0.5621","0.5621","0.5621","0.5621","1.43%"
"Jan 24, 1992","0.5542","0.5542","0.5542","0.5542","-0.38%"
"Jan 23, 1992","0.5563","0.5563","0.5563","0.5563","0.72%"
"Jan 22, 1992","0.5523","0.5523","0.5523","0.5523","-0.09%"
"Jan 21, 1992","0.5528","0.5528","0.5528","0.5528","-0.70%"
"Jan 20, 1992","0.5567","0.5567","0.5567","0.5567","-0.59%"
"Jan 17, 1992","0.5600","0.5600","0.5600","0.5600","-1.58%"
"Jan 16, 1992","0.5690","0.5690","0.5690","0.5690","-0.26%"
"Jan 15, 1992","0.5705","0.5705","0.5705","0.5705","3.09%"
"Jan 14, 1992","0.5534","0.5534","0.5534","0.5534","-0.50%"
"Jan 13, 1992","0.5562","0.5562","0.5562","0.5562","0.42%"
"Jan 10, 1992","0.5539","0.5539","0.5539","0.5539","2.20%"
"Jan 09, 1992","0.5420","0.5420","0.5420","0.5420","1.52%"
"Jan 08, 1992","0.5339","0.5339","0.5339","0.5339","0.30%"
"Jan 07, 1992","0.5323","0.5323","0.5323","0.5323","-0.24%"
"Jan 06, 1992","0.5336","0.5336","0.5336","0.5336","-1.19%"
"Jan 03, 1992","0.5400","0.5400","0.5400","0.5400","1.20%"
"Jan 02, 1992","0.5336","0.5336","0.5336","0.5336","-0.34%"
"Dec 31, 1991","0.5354","0.5354","0.5354","0.5354","0.15%"
"Dec 30, 1991","0.5346","0.5346","0.5346","0.5346","0.32%"
"Dec 27, 1991","0.5329","0.5329","0.5329","0.5329","0.00%"
"Dec 24, 1991","0.5329","0.5329","0.5329","0.5329","-0.02%"
"Dec 23, 1991","0.5330","0.5330","0.5330","0.5330","-0.89%"
"Dec 20, 1991","0.5378","0.5378","0.5378","0.5378","-1.34%"
"Dec 19, 1991","0.5451","0.5451","0.5451","0.5451","-0.38%"
"Dec 18, 1991","0.5472","0.5472","0.5472","0.5472","-0.16%"
"Dec 17, 1991","0.5481","0.5481","0.5481","0.5481","-0.02%"
"Dec 16, 1991","0.5482","0.5482","0.5482","0.5482","-0.45%"
"Dec 13, 1991","0.5507","0.5507","0.5507","0.5507","-0.52%"
"Dec 12, 1991","0.5536","0.5536","0.5536","0.5536","0.05%"
"Dec 11, 1991","0.5533","0.5533","0.5533","0.5533","0.25%"
"Dec 10, 1991","0.5519","0.5519","0.5519","0.5519","-0.02%"
"Dec 09, 1991","0.5520","0.5520","0.5520","0.5520","-0.07%"
"Dec 06, 1991","0.5524","0.5524","0.5524","0.5524","-1.09%"
"Dec 05, 1991","0.5585","0.5585","0.5585","0.5585","-1.06%"
"Dec 04, 1991","0.5645","0.5645","0.5645","0.5645","0.16%"
"Dec 03, 1991","0.5636","0.5636","0.5636","0.5636","0.23%"
"Dec 02, 1991","0.5623","0.5623","0.5623","0.5623","-0.86%"
"Nov 29, 1991","0.5672","0.5672","0.5672","0.5672","0.28%"
"Nov 28, 1991","0.5656","0.5656","0.5656","0.5656","0.07%"
"Nov 27, 1991","0.5652","0.5652","0.5652","0.5652","1.56%"
"Nov 26, 1991","0.5565","0.5565","0.5565","0.5565","0.04%"
"Nov 25, 1991","0.5563","0.5563","0.5563","0.5563","0.02%"
"Nov 22, 1991","0.5562","0.5562","0.5562","0.5562","-0.02%"
"Nov 21, 1991","0.5563","0.5563","0.5563","0.5563","-0.14%"
"Nov 20, 1991","0.5571","0.5571","0.5571","0.5571","0.09%"
"Nov 19, 1991","0.5566","0.5566","0.5566","0.5566","-0.02%"
"Nov 18, 1991","0.5567","0.5567","0.5567","0.5567","-1.54%"
"Nov 15, 1991","0.5654","0.5654","0.5654","0.5654","0.55%"
"Nov 14, 1991","0.5623","0.5623","0.5623","0.5623","-0.30%"
"Nov 13, 1991","0.5640","0.5640","0.5640","0.5640","0.11%"
"Nov 12, 1991","0.5634","0.5634","0.5634","0.5634","-0.37%"
"Nov 11, 1991","0.5655","0.5655","0.5655","0.5655","0.07%"
"Nov 08, 1991","0.5651","0.5651","0.5651","0.5651","0.36%"
"Nov 07, 1991","0.5631","0.5631","0.5631","0.5631","-0.27%"
"Nov 06, 1991","0.5646","0.5646","0.5646","0.5646","-0.16%"
"Nov 05, 1991","0.5655","0.5655","0.5655","0.5655","0.52%"
"Nov 04, 1991","0.5626","0.5626","0.5626","0.5626","-1.63%"
"Nov 01, 1991","0.5719","0.5719","0.5719","0.5719","-0.61%"
"Oct 31, 1991","0.5754","0.5754","0.5754","0.5754","-0.14%"
"Oct 30, 1991","0.5762","0.5762","0.5762","0.5762","-0.93%"
"Oct 29, 1991","0.5816","0.5816","0.5816","0.5816","-0.85%"
"Oct 28, 1991","0.5866","0.5866","0.5866","0.5866","0.38%"
"Oct 25, 1991","0.5844","0.5844","0.5844","0.5844","-0.02%"
"Oct 24, 1991","0.5845","0.5845","0.5845","0.5845","-0.22%"
"Oct 23, 1991","0.5858","0.5858","0.5858","0.5858","0.33%"
"Oct 22, 1991","0.5839","0.5839","0.5839","0.5839","0.46%"
